Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
df616eaa0520f1df04af9e87cfd37220a68a8d37f085402b6347593476f5bd5c,2023-04,Gwent Police,Gwent Police,-2.993129,51.582403,On or near King Street,W01001687,Newport 014D,Investigation complete; no suspect identified
f338f5b59ab7ff9708463c77ab02895cf9368fb96b32b04eabf5ca1a4e8210e9,2023-04,Gwent Police,Gwent Police,-3.244425,51.781260,On or near Petrol Station,W01001475,Blaenau Gwent 003D,Investigation complete; no suspect identified
408fe670b7d377f29ee2d0f936b9df1f620324e3b603a522019a2b48ed000196,2023-04,Gwent Police,Gwent Police,-3.203657,51.668515,On or near Alderman Close,W01001348,Caerphilly 009A,Unable to prosecute suspect
76b8cdd308874dfce71265c2865a46300a36c33078fffaa27581343ec0b5772f,2023-04,Gwent Police,Gwent Police,-3.220018,51.644519,On or near Gelli-Deg Street,W01001369,Caerphilly 012D,Unable to prosecute suspect
c371ebe9385e6e8db93997a35f3ca430401b8cd2c4ecc3ffa5e121a96c22e109,2023-04,Gwent Police,Gwent Police,-3.181139,51.738375,On or near York Terrace,W01001451,Blaenau Gwent 007B,Unable to prosecute suspect
a2528c74b409ae81cd3e52fee9081299169197b89d2619b16f1f89b426aad973,2023-04,Gwent Police,Gwent Police,-3.302158,51.774717,On or near Park/Open Space,W01001429,Caerphilly 001F,Investigation complete; no suspect identified
ec37e64596330c02bd1cae4128f9fd67006f6cfaeb425a689dc99b6264dc0322,2023-04,Gwent Police,Gwent Police,-3.029196,51.666002,On or near Penyparc,W01001520,Torfaen 007B,Investigation complete; no suspect identified
528f8796597d316594f83eec9b05ca3d6fbc61e18212347cb586a664c88ceb31,2023-04,Gwent Police,Gwent Police,-2.976837,51.591280,On or near Crown Street,W01001691,Newport 011D,Investigation complete; no suspect identified
f798cc616a1235b564a00dbf9b1d330b54d99521721d4d1eaea0a5a1ff69002a,2023-04,Gwent Police,Gwent Police,-3.194772,51.471839,On or near Eddystone Close,W01001759,Cardiff 046A,Unable to prosecute suspect
40f3f5fb894853556812b6e10b28bbfcfb554a4f418d3087b605d3d9a9e16e2e,2023-04,Gwent Police,Gwent Police,-3.047635,51.656110,On or near Sirhowy Court,W01001536,Torfaen 009C,Unable to prosecute suspect
5a106cb93efd20d58ee228c75c4b9ea56e35b1c23a39df7ae6486bf4ed83f715,2023-04,Gwent Police,Gwent Police,-3.009334,51.832560,On or near St Teilo's Road,W01001974,Monmouthshire 002G,Investigation complete; no suspect identified
2a2d4edaf60b31869bd40b4b619e796f4a3fa95ffb023ee74881353b403aa82e,2023-04,Gwent Police,Gwent Police,-2.752828,51.589460,On or near Parking Area,W01001588,Monmouthshire 010D,Unable to prosecute suspect
f2eb68195451b02794754490bcdf0b004fb6efe556821bb9452895212de851ca,2023-04,Gwent Police,Gwent Police,-3.011849,51.583098,On or near Prosser Lane,W01001605,Newport 014A,Investigation complete; no suspect identified
