Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c4aee0d56630e87dae9c74b6985ecbed5e2cb91727946f2855d50895cea0ebbe,2022-06,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
b451ee9d3fffeddb074a89eff2ee7a823427b394e1d605817cc2733d73343ff2,2022-06,Gwent Police,Gwent Police,-2.983289,51.591891,On or near MANCHESTER STREET,W01001692,Newport 011E,Investigation complete; no suspect identified
877a03c170fee8463798959c2bb2487b93a28402f6fd502e16a71dd05fc7d58b,2022-06,Gwent Police,Gwent Police,-3.177035,51.677966,On or near YORK AVENUE,W01001391,Caerphilly 006F,Investigation complete; no suspect identified
278151f3c7b9d2690f6b153271a49fbf23be9bfd9ca4f04e46280ba0b6dad374,2022-06,Gwent Police,Gwent Police,-3.146806,51.664175,On or near Parking Area,W01001382,Caerphilly 010C,Investigation complete; no suspect identified
544fbc434bd0225884c26135552296f2167f46622d81bba9a486fd5cf413a2eb,2022-06,Gwent Police,Gwent Police,-3.001125,51.648711,On or near TWM BARLWM VIEW,W01001507,Torfaen 008D,Investigation complete; no suspect identified
75de543c369412b91d26e3c428cfa60cb831151879f79a9c46cbff431156f3ce,2022-06,Gwent Police,Gwent Police,-2.995280,51.585056,On or near TALBOT LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
462e48506fc2807505e6f75de5dafa23f0aff681158e705d39922519d2eb6c35,2022-06,Gwent Police,Gwent Police,-3.219921,51.645760,On or near MOUNT PLEASANT,W01001369,Caerphilly 012D,Investigation complete; no suspect identified
c5f65c3d9455b0a03c2e3ba75dfe0a3d6dacc0118a3eeecc71e129621871e4d4,2022-06,Gwent Police,Gwent Police,-3.021147,51.655265,On or near Parking Area,W01001506,Torfaen 010A,Investigation complete; no suspect identified
0eda443858f962328ab0dd7ff23a087e94331fb1189cf24ec988528b26684f30,2022-06,Gwent Police,Gwent Police,-3.127362,51.648610,On or near GWYDDON ROAD,W01001328,Caerphilly 014B,Investigation complete; no suspect identified
bd9a81b265288d132147ca275ece6e20b29032c5a4015d7b91ecbfe5093e7751,2022-06,Gwent Police,Gwent Police,-3.055594,51.586767,On or near A467,W01001672,Newport 009C,Investigation complete; no suspect identified
a7d2169d1998009a024702eab8473151fee5b64524bf3a6da0adddb8d37622a9,2022-06,Gwent Police,Gwent Police,-2.992315,51.582113,On or near COMMERCIAL ROAD,W01001687,Newport 014D,Investigation complete; no suspect identified
780824ae66d0c4bb53ad6390063b7c362ab1fe5b5d63b25043e664cdd3f3b54f,2022-06,Gwent Police,Gwent Police,-2.778105,51.584476,On or near Parking Area,W01001582,Monmouthshire 011D,Investigation complete; no suspect identified
