Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f4e94541502ba40dd1bfed4d76c626b348b709876414359fd848812c81d7c37b,2023-02,Gwent Police,Gwent Police,-3.137527,51.667817,On or near Sunny Crest,W01001381,Caerphilly 010B,Unable to prosecute suspect
9fc78427eecafcbe3d1960d4ef61a0b597798b9362dcd0f9efd1303c980798da,2023-02,Gwent Police,Gwent Police,-3.000935,51.657120,On or near Cae Rhedyn,W01001495,Torfaen 008C,Local resolution
53b5b3884c1d33ffc37dee6d04e05c0491ba09b6b80bdd87c3756de96aa60e58,2023-02,Gwent Police,Gwent Police,-3.002013,51.568328,On or near Shopping Area,W01001660,Newport 018B,Investigation complete; no suspect identified
fe001cb0c6e39dd05f694e17f2d96b736f5e324f43892f5c0e2f8354964e13af,2023-02,Gwent Police,Gwent Police,-3.143044,51.669822,On or near Greenfield,W01001383,Caerphilly 010D,Unable to prosecute suspect
a0e240ebfce179ca2744b24a59114b2ea8242158a824d4564f2c3d47bb7cc6e3,2023-02,Gwent Police,Gwent Police,-3.056537,51.711265,On or near Mount Pleasant Road,W01001523,Torfaen 004C,Investigation complete; no suspect identified
9075f33a30b3662b93114a959948aa997bbc8816aba293f15c827f42286bf92e,2023-02,Gwent Police,Gwent Police,-3.147983,51.663840,On or near Ty-Llwyd Place,W01001382,Caerphilly 010C,Investigation complete; no suspect identified
d87040bde8fff16b0d1bafd91b388af235ca88d8d2b81d680c851251eb163e35,2023-02,Gwent Police,Gwent Police,-2.993517,51.580979,On or near Police Station,W01001662,Newport 018D,Suspect charged
8ade1719601e2f424fd624d27fdad536ce79561e32c530c487c68ec20c1bd2a6,2023-02,Gwent Police,Gwent Police,-3.092744,51.611874,On or near Fairview Avenue,W01001409,Caerphilly 016C,Investigation complete; no suspect identified
4d33089d556199b79e22b57e30dd8750ee2a12934ff24b5c0cc163b837c23d60,2023-02,Gwent Police,Gwent Police,-2.720953,51.808644,On or near St Thomas's Square,W01001576,Monmouthshire 004D,Local resolution
014a25e0f83019786182c1e5b4971de993a8831ee6dcd5c3e61da1e751ec39d6,2023-02,Gwent Police,Gwent Police,-3.053479,51.582713,On or near Stradling Road,W01001671,Newport 016D,Investigation complete; no suspect identified
7d99d239c57b0d6c7b76f6d45f7642981ed3bee05b92840f7995b2754ac23464,2023-02,Gwent Police,Gwent Police,-3.047231,51.715062,On or near West Hill Road,W01001531,Torfaen 003D,Investigation complete; no suspect identified
6ea655fa362cb421763d169bdd473ef5fb38ffe4d59c1e31b09b15c6cb149bfa,2023-02,Gwent Police,Gwent Police,-3.211600,51.804027,On or near Heathfield Close,W01001441,Blaenau Gwent 001B,Unable to prosecute suspect
042e9bb0c3c08e6fa3b499717d8dfdc973f45408a7c20ab5e9efcb567fa47c51,2023-02,Gwent Police,Gwent Police,-3.226419,51.647167,On or near Ael Y Bryn,W01001365,Caerphilly 012C,Unable to prosecute suspect
e9fb63835820dc64d03e330d26b084bc45b31088c11c72f162beb71b94ab8f24,2023-02,Gwent Police,Gwent Police,-3.216621,51.681752,On or near Beech Avenue,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
ca76f5ec48ebb89f0ccf8098d39e5eef5b2b2166d017eba808c9d0d4ad78b432,2023-02,Gwent Police,Gwent Police,-3.224147,51.779961,On or near Milton Close,W01001457,Blaenau Gwent 004D,Unable to prosecute suspect
a347e69839ee5d991d6e56f872e6c0b33e46afef26731c463b8e38f838214498,2023-02,Gwent Police,Gwent Police,-3.016871,51.557832,On or near Henry Morgan Close,W01002035,Newport 019F,Unable to prosecute suspect
da63807c6308103ece850a48953f21a163602b91e1589287a68021b47a2733f3,2023-02,Gwent Police,Gwent Police,-2.999899,51.606776,On or near Brynglas Drive,W01001682,Newport 006C,Investigation complete; no suspect identified
d124da0e07af42b2b1e9362d451707bb495858099a570089f4b8c22e2aa352f3,2023-02,Gwent Police,Gwent Police,-3.048491,51.553481,On or near Church Crescent,W01001913,Newport 020F,Investigation complete; no suspect identified
0ab37c3ea99960d3f4698c799a4571639de06987d3aadb74062c8d29e6686833,2023-02,Gwent Police,Gwent Police,-3.251636,51.767551,On or near Rhodfa Cripps,W01001479,Blaenau Gwent 006D,Unable to prosecute suspect
aacd20575473d94494d64aefe6f1f337fa400b17bd27f1d94337a20fef018e94,2023-02,Gwent Police,Gwent Police,-2.931279,51.594824,On or near Parking Area,W01001664,Newport 010A,Suspect charged
a63377f95ba2ca007294b22168c62eafe4f003b4e4c050197554f9433a99c041,2023-02,Gwent Police,Gwent Police,-3.064002,51.725306,On or near Swan Square,W01001486,Torfaen 002E,Unable to prosecute suspect
f2c17d89814c4fea6ec16556c8b710298ea3c0d5f421ce467b9f650aef4b91dd,2023-02,Gwent Police,Gwent Police,-3.259254,51.787170,On or near Station Road,W01001474,Blaenau Gwent 003C,Unable to prosecute suspect
08727d490424244090967d2d547331fc09c64c8914b9f914130e661a1cd296c4,2023-02,Gwent Police,Gwent Police,-3.230451,51.583050,On or near Llwyn-On Close,W01001396,Caerphilly 023D,Investigation complete; no suspect identified
ad20390720252f41201f7d2aeee10399cd6f23998b2163e90030277bb00c775d,2023-02,Gwent Police,Gwent Police,-2.989197,51.584082,On or near Supermarket,W01001687,Newport 014D,Investigation complete; no suspect identified
22071df62ae336dae328408223a6f4413ab3e881e1b70228a55b8f7e0361eb75,2023-02,Gwent Police,Gwent Police,-3.138115,51.705421,On or near Sports/Recreation Area,W01001465,Blaenau Gwent 009B,Offender given a caution
5a73a1481b97d0d6e96ae5cbd940fa8d6f9799a08d61c49832229231a9cc7000,2023-02,Gwent Police,Gwent Police,-3.136920,51.731870,On or near Diamond Jubilee Terrace,W01001435,Blaenau Gwent 008A,Unable to prosecute suspect
29eb14ac8a257f4e34eb3174d7ef2d1bcd94e88a2017234ff263455e3203f682,2023-02,Gwent Police,Gwent Police,-3.236671,51.763510,On or near Vale Terrace,W01001478,Blaenau Gwent 006C,Unable to prosecute suspect
2361ffc15d61a39ed0c33ff5bc3059d585a550944d12887ae90eac0bd98448f6,2023-02,Gwent Police,Gwent Police,-3.018972,51.822965,On or near Parking Area,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
8790b1e95f5241b636f6a8a01cbbd2e3ebe96e87761667252324bfdf775fa505,2023-02,Gwent Police,Gwent Police,-3.200172,51.667949,On or near Morrison Street,W01001348,Caerphilly 009A,Unable to prosecute suspect
8f7d8a944acf14858427e01eb0c036de8350795a89830c7b9cff08e4fbf07567,2023-02,Gwent Police,Gwent Police,-3.239679,51.785490,On or near Rhoslan,W01001473,Blaenau Gwent 003B,Unable to prosecute suspect
3c195997f921ba361c6b4e575cc47ef8caeff04f9d959e165fdc693f238a8ee8,2023-02,Gwent Police,Gwent Police,-2.994616,51.581114,On or near Clytha Square,W01001687,Newport 014D,Unable to prosecute suspect
eb269dfeb41357a047893c1c773061ee8ed2a3ed45093e767096965690ec8d0d,2023-02,Gwent Police,Gwent Police,-2.996375,51.586278,On or near Parking Area,W01001687,Newport 014D,Unable to prosecute suspect
ec00501d3fe858e784cea5929cb01d7d7a00481b82455f8ed24a652d1c1b848e,2023-02,Gwent Police,Gwent Police,-2.984802,51.593102,On or near Gloster Street,W01001676,Newport 007B,Investigation complete; no suspect identified
bc916010fbe264460a6290900ec84fdc00470eac8f15e3ded1ef441948fde893,2023-02,Gwent Police,Gwent Police,-2.979643,51.584819,On or near Witham Street,W01001690,Newport 013D,Unable to prosecute suspect
c491e4b8cc92ba73472b35b29c80f993d6cfc73a1fd624ca1e67623f648cc10e,2023-02,Gwent Police,Gwent Police,-3.276655,51.754946,On or near Hafod-Y-Mynydd,W01001376,Caerphilly 001C,Unable to prosecute suspect
0ed023999a24154b316ee8f5bcc875b60b77518f81e1e1ec898500874d9077b4,2023-02,Gwent Police,Gwent Police,-3.069450,51.728073,On or near Sports/Recreation Area,W01001485,Torfaen 002D,Suspect charged
d722550aae863873721e74818f43b0a8c87fefe18be7935bc07758aab3c99aa1,2023-02,Gwent Police,Gwent Police,-3.136054,51.733712,On or near Edward Street,W01001435,Blaenau Gwent 008A,Unable to prosecute suspect
b2f4efea2a8585fdc5ee0aa76ce2ec4bfe8ffc16b243c1c32a70987fdf8c2f84,2023-02,Gwent Police,Gwent Police,-3.238872,51.724302,On or near Meadow Terrace,W01001386,Caerphilly 002E,Unable to prosecute suspect
c9fd24b24bc9c8ee956554e516a7e0606ca9df417ebb37541cbffbc112741316,2023-02,Gwent Police,Gwent Police,-3.277256,51.754139,On or near Hill Street,W01001376,Caerphilly 001C,Unable to prosecute suspect
3027788ae27c423ecadbd31fc4269230ef1202fcc2f072c0863f846fdd337cf6,2023-02,Gwent Police,Gwent Police,-3.040720,51.635716,On or near Brynglas,W01001534,Torfaen 012C,Investigation complete; no suspect identified
b0fbbd64b59eadcae4fcd8a675d1ae63c365f48f9002c41a892553986a6fbdab,2023-02,Gwent Police,Gwent Police,-3.225528,51.580871,On or near Caenant Road,W01001370,Caerphilly 023A,Suspect charged
67ce71cdb8b35ec566896521a80d3a4b797b531839f305863b0a40d87c3ccb91,2023-02,Gwent Police,Gwent Police,-3.208586,51.577675,On or near Buxton Court,W01001422,Caerphilly 022F,Unable to prosecute suspect
572aaf99888556e20e90e92e184e4f58eaca63335b5b9a219f24c478f734af9c,2023-02,Gwent Police,Gwent Police,-3.064002,51.725306,On or near Swan Square,W01001486,Torfaen 002E,Unable to prosecute suspect
e41d1ac6b0b2e212676f8099aa684a7ca6a6b1855a177e86162538ebc6300c3d,2023-02,Gwent Police,Gwent Police,-2.678256,51.640618,On or near Shopping Area,W01001587,Monmouthshire 008C,Unable to prosecute suspect
43d63498759f2444b430a153eac4b0afe537671b59a519fe3ebc33974302fde0,2023-02,Gwent Police,Gwent Police,-2.984802,51.593102,On or near Gloster Street,W01001676,Newport 007B,Investigation complete; no suspect identified
32da6b4bcae1ed256116d3b1d6d3c64bdd4328797afeeecfbf1c1c5b09931a4a,2023-02,Gwent Police,Gwent Police,-3.131494,51.672299,On or near Coronation Crescent,W01001381,Caerphilly 010B,Unable to prosecute suspect
e109d5a69cf1b70a893a77b1657bd80866da6d57cfcf585790a9f112c016ccc2,2023-02,Gwent Police,Gwent Police,-2.926235,51.591690,On or near Playford Crescent,W01001667,Newport 010C,Further investigation is not in the public interest
6d84316f87978943b16b43d18920688bfca665a2806abd7eb3322d221f911291,2023-02,Gwent Police,Gwent Police,-3.772874,51.616321,On or near Cefncoed Road,W01000901,Neath Port Talbot 014D,Unable to prosecute suspect
