Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6b626a02b354819a116669380d37e5abf653becbf70a5d337a4cc76c1e02b970,2024-08,Gwent Police,Gwent Police,,,No location,,,Further investigation is not in the public interest
a9b4ff6eae0741cdc65a627278c1e70e6eaea0d8ff114f149ce9e1dad3a7d906,2024-08,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
41a79d3117f28727db543c5c9e441030055d39040d0e97c35bac14865637d171,2024-08,Gwent Police,Gwent Police,-3.019608,51.638248,On or near Fields Road,W01001504,Torfaen 013A,Local resolution
02ef7e513f1bdc02962c0357a1a3b3f5e827bc097bf900b9c43d4a684b87c942,2024-08,Gwent Police,Gwent Police,,,No location,,,Further action is not in the public interest
bc4fee026e9a986ae7fa1c0b76a6da0e339c90c00c5b9a31db0510ab500184e7,2024-08,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
762ca3853ee5ca6636215b73517549b58e95b99965f7cc386faf54a37637fb20,2024-08,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
7fe94fd649a6eff264515c741fe7eb7537dc5c21a56da1c10d77adf2426b7e49,2024-08,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
9f95fc6edcfb4c2f94de604d0045775ff2d98dceabd77950d7d759622605a64d,2024-08,Gwent Police,Gwent Police,,,No location,,,Action to be taken by another organisation
71de5c913e118a8d9a9a4079fe620e23cfaae391391e875a63fb2dd59fb89a49,2024-08,Gwent Police,Gwent Police,-3.020250,51.655875,On or near Plas Craig,W01001519,Torfaen 007A,Unable to prosecute suspect
f8bb0776b064f092cbd47083e31930fcb6d3a6002cdc5f795b6353af37a6f557,2024-08,Gwent Police,Gwent Police,-3.220214,51.689502,On or near William Street,W01001326,Caerphilly 003B,Local resolution
e69b5a1acb82270ee51fda90c3614e61ca44ae92fdc7c7f4cf502c4618a055da,2024-08,Gwent Police,Gwent Police,,,No location,,,Local resolution
158b4da00fa9b2094582310f5694d30f6317958cb88ffa56b11ff85dff474bf0,2024-08,Gwent Police,Gwent Police,,,No location,,,Suspect charged
e52e3791bc750ea9b90bd9848b45db09b9dec3f14a2970276214aa14e421bc20,2024-08,Gwent Police,Gwent Police,,,No location,,,Local resolution
ce042c13aa017a45b184ef1e82fbb4cb8b2fc8826f59b5906b37ef10bc5caef1,2024-08,Gwent Police,Gwent Police,-2.973820,51.587906,On or near Rosslyn Road,W01001613,Newport 011C,Investigation complete; no suspect identified
a83aa799b73a1494ed5f4035dde0a9d3711a0e2eaf4403f87ab41b25f7b70d5d,2024-08,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
c7d5f939f469df475a94b92584ec46e9e6a48b02aa13baf022467448c970ee61,2024-08,Gwent Police,Gwent Police,-2.994419,51.583984,On or near Ivor Street,W01001687,Newport 014D,Investigation complete; no suspect identified
63d95866f5ca9c5bea5fc4f9d47b211291eb082872285c7c62a52cb700e79c47,2024-08,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
9a97e83c97ca1cb8c05dd3114366e19062045cd03528de3a2d266ba7521051d5,2024-08,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
